Date,"('CLOSE', 'BTC-USD')","('HIGH', 'BTC-USD')","('LOW', 'BTC-USD')","('OPEN', 'BTC-USD')","('VOLUME', 'BTC-USD')"
2021-09-20,42843.800781,47328.199219,42598.914062,47261.406250,43909845642
2021-09-21,40693.675781,43607.609375,39787.609375,43012.234375,48701090088
2021-09-22,43574.507812,43978.621094,40625.632812,40677.953125,38139709246
2021-09-23,44895.097656,44942.175781,43109.339844,43560.296875,34244064430
2021-09-24,42839.750000,45080.492188,40936.558594,44894.300781,42839345714
2021-09-25,42716.593750,42996.257812,41759.921875,42840.890625,31604717236
2021-09-26,43208.539062,43919.300781,40848.460938,42721.628906,30661222077
2021-09-27,42235.730469,44313.246094,42190.632812,43234.183594,30980029059
2021-09-28,41034.542969,42775.144531,40931.664062,42200.898438,30214940550
2021-09-29,41564.363281,42545.257812,40829.667969,41064.984375,30602359905
2021-09-30,43790.894531,44092.601562,41444.582031,41551.269531,31141681925
2021-10-01,48116.941406,48436.011719,43320.023438,43816.742188,42850641582
2021-10-02,47711.488281,48282.062500,47465.496094,48137.468750,30614346492
2021-10-03,48199.953125,49130.691406,47157.289062,47680.027344,26638115879
2021-10-04,49112.902344,49456.777344,47045.003906,48208.906250,33383173002
2021-10-05,51514.812500,51839.984375,49072.839844,49174.960938,35873904236
2021-10-06,55361.449219,55568.464844,50488.191406,51486.664062,49034730168
2021-10-07,53805.984375,55338.625000,53525.468750,55338.625000,36807860413
2021-10-08,53967.847656,55922.980469,53688.054688,53802.144531,34800873924
2021-10-09,54968.222656,55397.945312,53735.144531,53929.781250,32491211414
2021-10-10,54771.578125,56401.304688,54264.257812,54952.820312,39527792364
2021-10-11,57484.789062,57793.039062,54519.765625,54734.125000,42637331698
2021-10-12,56041.058594,57627.878906,54477.972656,57526.832031,41083758949
2021-10-13,57401.097656,57688.660156,54370.972656,56038.257812,41684252783
2021-10-14,57321.523438,58478.734375,56957.074219,57372.832031,36615791366
2021-10-15,61593.949219,62757.128906,56868.144531,57345.902344,51780081801
2021-10-16,60892.179688,62274.476562,60206.121094,61609.527344,34250964237
2021-10-17,61553.617188,61645.523438,59164.468750,60887.652344,29032367511
2021-10-18,62026.078125,62614.660156,60012.757812,61548.804688,38055562075
2021-10-19,64261.992188,64434.535156,61622.933594,62043.164062,40471196346
2021-10-20,65992.835938,66930.390625,63610.675781,64284.585938,40788955582
2021-10-21,62210.171875,66600.546875,62117.410156,66002.234375,45908121370
2021-10-22,60692.265625,63715.023438,60122.796875,62237.890625,38434082775
2021-10-23,61393.617188,61743.878906,59826.523438,60694.628906,26882546034
2021-10-24,60930.835938,61505.804688,59643.343750,61368.343750,27316183882
2021-10-25,63039.824219,63729.324219,60691.800781,60893.925781,31064911614
2021-10-26,60363.792969,63229.027344,59991.160156,63032.761719,34878965587
2021-10-27,58482.386719,61435.183594,58208.187500,60352.000000,43657076893
2021-10-28,60622.136719,62128.632812,58206.917969,58470.730469,45257083247
2021-10-29,62227.964844,62927.609375,60329.964844,60624.871094,36856881767
2021-10-30,61888.832031,62330.144531,60918.386719,62239.363281,32157938616
2021-10-31,61318.957031,62406.171875,60074.328125,61850.488281,32241199927
2021-11-01,61004.406250,62419.003906,59695.183594,61320.449219,36150572843
2021-11-02,63226.402344,64242.792969,60673.054688,60963.253906,37746665647
2021-11-03,62970.046875,63516.937500,61184.238281,63254.335938,36124731509
2021-11-04,61452.230469,63123.289062,60799.664062,62941.804688,32615846901
2021-11-05,61125.675781,62541.468750,60844.609375,61460.078125,30605102446
2021-11-06,61527.480469,61590.683594,60163.781250,61068.875000,29094934221
2021-11-07,63326.988281,63326.988281,61432.488281,61554.921875,24726754302
2021-11-08,67566.828125,67673.742188,63344.066406,63344.066406,41125608330
2021-11-09,66971.828125,68530.335938,66382.062500,67549.734375,42357991721
2021-11-10,64995.230469,68789.625000,63208.113281,66953.335938,48730828378
2021-11-11,64949.960938,65579.015625,64180.488281,64978.890625,35880633236
2021-11-12,64155.941406,65460.816406,62333.914062,64863.980469,36084893887
2021-11-13,64469.527344,64915.675781,63303.734375,64158.121094,30474228777
2021-11-14,65466.839844,65495.179688,63647.808594,64455.371094,25122092191
2021-11-15,63557.871094,66281.570312,63548.144531,65521.289062,30558763548
2021-11-16,60161.246094,63721.195312,59016.335938,63721.195312,46844335592
2021-11-17,60368.011719,60823.609375,58515.410156,60139.621094,39178392930
2021-11-18,56942.136719,60948.500000,56550.792969,60360.136719,41388338699
2021-11-19,58119.578125,58351.113281,55705.179688,56896.128906,38702407772
2021-11-20,59697.195312,59859.878906,57469.726562,58115.082031,30624264863
2021-11-21,58730.476562,60004.425781,58618.929688,59730.507812,26123447605
