Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2022-12-23,69.320000,69.559998,68.870003,68.940002,2928900
2022-12-27,69.529999,70.540001,69.059998,69.589996,3147900
2022-12-28,68.580002,69.220001,67.529999,69.180000,2782800
2022-12-29,68.529999,68.589996,67.370003,67.550003,1972300
2022-12-30,70.110001,70.269997,68.349998,68.360001,3648500
2023-01-03,67.639999,69.650002,67.120003,68.639999,3339700
2023-01-04,64.300003,65.580002,63.980000,65.580002,4215300
2023-01-05,64.779999,65.750000,63.930000,64.320000,3555500
2023-01-06,64.830002,66.180000,64.459999,65.820000,2994000
2023-01-09,65.879997,67.330002,65.449997,66.489998,2941100
2023-01-10,65.900002,66.680000,65.220001,66.269997,2000400
2023-01-11,68.050003,68.220001,66.459999,67.239998,3545100
2023-01-12,68.610001,69.320000,68.419998,69.120003,2616300
2023-01-13,70.050003,70.089996,68.919998,69.300003,2503300
2023-01-17,70.860001,71.139999,69.459999,70.860001,3796500
2023-01-18,69.510002,72.029999,69.349998,71.589996,3172700
2023-01-19,70.589996,71.139999,69.690002,70.190002,2814900
2023-01-20,71.550003,71.559998,69.970001,70.860001,2438400
2023-01-23,71.500000,72.250000,71.290001,71.820000,1661100
2023-01-24,70.220001,71.660004,69.879997,71.589996,1653200
2023-01-25,70.510002,71.089996,69.639999,70.410004,1613200
2023-01-26,70.930000,71.760002,70.269997,71.650002,1481400
2023-01-27,69.500000,71.779999,69.199997,71.739998,3185000
2023-01-30,68.099998,69.870003,68.029999,68.680000,2345800
2023-01-31,69.320000,69.370003,67.669998,67.860001,1391600
2023-02-01,67.360001,69.410004,66.760002,69.209999,3538500
2023-02-02,66.570000,67.489998,65.900002,66.989998,2561500
2023-02-03,64.400002,68.389999,64.349998,66.730003,4875300
2023-02-06,65.500000,65.529999,63.669998,65.070000,2694200
2023-02-07,67.760002,67.849998,65.820000,65.830002,3598100
2023-02-08,68.680000,68.790001,67.610001,68.400002,2052000
2023-02-09,67.919998,68.500000,67.120003,67.879997,2430700
2023-02-10,69.870003,69.900002,68.949997,69.019997,2817200
