date,ticker,q_stop,stop_reason,regime,lambda1,lambda_int,delta_lambda,rs_value,sigma_lo,sigma_hi,sigma_center,window,alpha,adjacency,laplacian,n_nodes,n_edges,n_components,lcc_fraction,zero_degree_fraction,data_hash,prices_file_mtime,git_commit,tau,delta_ds_max,r2_exp,r2_power
2009-05-21,SPX,0.1,gap,Degenerate,0.0,0.5848431647735651,0.5848431647735651,0.9840912813518616,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14593,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01603662063086051,0.1474688028900053,0.9991337776893213,0.9990393064335931
2009-05-22,SPX,0.1,gap,Degenerate,0.0,0.603831085834866,0.603831085834866,0.9835790417107718,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14196,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.016557276603212864,0.14841688278815912,0.9990366340216127,0.9989321060913338
2009-05-26,SPX,0.1,gap,Degenerate,0.0,0.82002575292691,0.82002575292691,0.9777654967335312,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14380,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.022485416089826564,0.15022290388304793,0.9991160965818715,0.998979839509631
2009-05-27,SPX,0.1,gap,Degenerate,0.0,0.892394511471196,0.892394511471196,0.9758271635256759,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13674,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.024469794802280852,0.13413164919015608,0.9992920702193033,0.9991590976479371
2009-05-28,SPX,0.1,gap,Degenerate,0.0,0.8685157620370898,0.8685157620370898,0.97646630957158,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13596,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.023815030467363135,0.13507538036340527,0.9992994714688437,0.9991710630778122
2009-05-29,SPX,0.1,gap,Degenerate,0.0,0.8101482182014919,0.8101482182014919,0.9780303562151262,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13676,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02221457035425058,0.13368147956488052,0.9992998358974968,0.9991804188844932
2009-06-01,SPX,0.1,gap,Degenerate,5.533550403176988e-31,0.9211458515856379,0.9211458515856379,0.9750581512887938,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13595,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02525816741534313,0.1298282770046585,0.9994516363868791,0.9993325058641946
2009-06-02,SPX,0.1,gap,Degenerate,0.0,0.8544441623152319,0.8544441623152319,0.976843150410558,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13575,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.023429181884356907,0.1286660266236036,0.9994431766301374,0.9993319255271151
2009-06-03,SPX,0.1,gap,Degenerate,0.0,0.9172790384932161,0.9172790384932161,0.9751615416752796,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13810,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.025152137938812234,0.13109758647658332,0.9994790023579554,0.9993634891030742
2009-06-04,SPX,0.1,gap,Degenerate,2.2865839763961107e-16,0.7933570158655979,0.7933570158655977,0.9784807657229238,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,12854,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.021754149239641148,0.11976101675128659,0.9994707344859137,0.9993696148722409
