lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
1.0466138038589763,54.36552676814288,0.6,Critical,power,0.2252097041296157,2009-01-08
1.2088170241379568,56.21611458246998,0.6,Critical,power,0.21406681141373277,2009-01-09
0.6618824926553587,42.94804644473971,0.4,Critical,power,0.30800117947291356,2009-01-12
0.5161344994978301,44.09501986117487,0.4,Critical,power,0.2984651476798249,2009-01-13
0.6440032646331795,45.007376450019194,0.4,Critical,power,0.29109102103202183,2009-01-14
1.5540490331140684,30.749351772070668,0.2,Critical,power,0.4303489671548286,2009-01-15
1.6840503549682413,31.016095014543033,0.2,Critical,power,0.4272127918006334,2009-01-16
1.3583733690226798,31.57777964294936,0.2,Critical,power,0.4206834395311613,2009-01-20
1.440246733647721,44.95686991165278,0.4,Critical,power,0.2914944347050509,2009-01-21
1.3150315754266568,44.59354811425907,0.4,Critical,power,0.29441293852889744,2009-01-22
1.125991891479003,44.608585751391864,0.4,Critical,power,0.29429156600171,2009-01-23
1.0523737410108442,19.931199775205382,0.1,Critical,power,0.5789604962883385,2009-01-26
1.1886501256917985,29.36530894645814,0.2,Critical,power,0.44699499982831664,2009-01-27
0.8919151775287234,30.484467731123313,0.2,Critical,power,0.43348606553153957,2009-01-28
1.2422768140503617,41.77818678217162,0.4,Critical,power,0.3180414138528699,2009-01-29
1.4015905036247698,31.251465524306024,0.2,Critical,power,0.4244644608447261,2009-01-30
1.2723136095320169,30.945208142572877,0.2,Critical,power,0.42804399201164867,2009-02-02
1.682285551850309,29.166411604380325,0.2,Critical,power,0.4494394990659296,2009-02-03
1.540835290131295,2.1358362414241343,0.01,Rigid,progress,0.9431165236452043,2009-02-04
1.7996653724899674,2.071712178535014,0.01,Rigid,progress,0.9447762698697199,2009-02-05
1.816701520046346,1.955674338495673,0.01,Rigid,progress,0.9477871478264542,2009-02-06
1.8224395542367544,1.744243808575963,0.01,Rigid,progress,0.9532979074905096,2009-02-09
1.4539204117272186,2.561352140549367,0.01,Rigid,progress,0.9321763701827409,2009-02-10
1.5473405673029053,1.1589376131539715,0.01,Rigid,progress,0.9687211228832268,2009-02-11
1.6246186702650376,0.6554661971440199,0.01,Degenerate,gap,0.9821874225235335,2009-02-12
1.9065255795740839,0.9129668479684374,0.02,Degenerate,gap,0.9752768534401931,2009-02-13
1.703047548466193,0.949835022483017,0.01,Degenerate,gap,0.9742914059576644,2009-02-17
1.3536294438779515,0.682654550717547,0.02,Degenerate,gap,0.9814554600130506,2009-02-18
0.38544823745811363,0.6684829855736432,0.01,Degenerate,gap,0.9818369175794253,2009-02-19
0.014601789278966706,0.7483258890639948,0.01,Degenerate,gap,0.9796897111556542,2009-02-20
0.04454789771546454,0.5078234422446262,0.01,Degenerate,gap,0.9861717896239699,2009-02-23
0.04955824837828145,0.43036026133657773,0.01,Degenerate,gap,0.988268713458323,2009-02-24
0.0421494726404722,0.5047777396600931,0.01,Degenerate,gap,0.986254152525681,2009-02-25
0.04460552317452258,0.6255516804993221,0.01,Degenerate,gap,0.9829934093180565,2009-02-26
0.0,0.38041973349407365,0.01,Degenerate,gap,0.9896229639586501,2009-02-27
0.0036416818232754586,0.5488707327505766,0.02,Degenerate,gap,0.9850624459181617,2009-03-02
3.577544127545875e-14,0.49150975091989585,0.01,Degenerate,gap,0.9866130301484258,2009-03-03
1.0242313759812414e-14,0.985936848005049,0.01,Degenerate,gap,0.973327407076809,2009-03-04
0.0,1.0713521227696416,0.01,Rigid,progress,0.9710504258697116,2009-03-05
0.0,1.0652030855241177,0.01,Rigid,progress,0.9712141674423032,2009-03-06
2.5178719610379762e-14,0.974177721495521,0.01,Degenerate,gap,0.9736412970701799,2009-03-09
2.3190843824709657e-14,0.9551311330391806,0.01,Degenerate,gap,0.9741499283142993,2009-03-10
0.0,0.75996518925953,0.01,Degenerate,gap,0.9793770891450745,2009-03-11
0.0,1.2499137579123492,0.01,Rigid,progress,0.9663075625889586,2009-03-12
0.0,1.1796902890950862,0.01,Rigid,progress,0.9681700326045694,2009-03-13
4.278981576008249e-14,0.4117617753472301,0.01,Degenerate,gap,0.9887728368163068,2009-03-16
6.376725392266433e-14,0.4238671822769851,0.01,Degenerate,gap,0.9884446831351943,2009-03-17
4.8933079810353775e-14,0.3763800239819648,0.01,Degenerate,gap,0.9897325909239199,2009-03-18
